period,town_code,town_name,county_pref,county_name,is_mountain,total_pop,n_source_counties,diversity_entropy,gini_concentration,top1_src_county,top1_src_cnt,top2_src_county,top2_src_cnt,top3_src_county,top3_src_cnt
2017H2,6500016,新北(T16),65000,新北,0,107,13,1.9775,0.5751,新北,34,桃園,26,新竹縣,15
2017H2,1000508,苗栗(T08),10005,苗栗,0,158,10,1.1167,0.7215,苗栗,114,臺中,17,桃園,6
2017H2,6400011,高雄(T11),64000,高雄,0,83,13,2.1723,0.4764,高雄,25,南投,12,桃園,10
2017H2,1001707,基隆(T07),10017,基隆,0,97,14,1.7614,0.6532,基隆,49,宜蘭,15,桃園,8
2017H2,6600002,臺中(T02),66000,臺中,0,143,13,1.5463,0.6907,臺中,84,南投,18,苗栗,10
2017H2,6600011,臺中(T11),66000,臺中,0,30,7,1.4345,0.5238,臺中,16,新竹縣,5,南投,3
2017H2,6500021,新北(T21),65000,新北,0,33,9,1.7904,0.4781,新北,13,宜蘭,6,桃園,5
2017H2,1001502,花蓮(T02),10015,花蓮,0,74,12,1.2519,0.6914,花蓮,53,桃園,3,臺北,3
2017H2,6500009,新北(T09),65000,新北,0,292,14,1.9749,0.5983,新北,107,桃園,49,宜蘭,35
2017H2,6400003,高雄(T03),64000,高雄,0,142,15,2.0777,0.5775,高雄,55,桃園,16,宜蘭,16
2017H2,6600019,臺中(T19),66000,臺中,0,99,10,1.4839,0.6495,臺中,55,花蓮,13,南投,12
2017H2,6300005,臺北(T05),63000,臺北,0,123,12,1.9131,0.544,臺北,53,新竹縣,16,宜蘭,11
2017H2,1000202,宜蘭(T02),10002,宜蘭,0,998,16,0.7805,0.8575,宜蘭,843,臺北,29,新北,27
2017H2,6500023,新北(T23),65000,新北,0,65,13,2.2531,0.426,新北,12,臺北,10,苗栗,9
2017H2,6500010,新北(T10),65000,新北,0,187,13,2.0929,0.5216,新北,53,臺北,37,桃園,20
2017H2,1000402,新竹縣(T02),10004,新竹縣,0,3186,18,1.2051,0.8423,新竹縣,2119,新竹市,545,桃園,209
2017H2,1000405,新竹縣(T05),10004,新竹縣,0,391,14,1.4009,0.7612,新竹縣,236,桃園,50,新竹市,49
2017H2,6400005,高雄(T05),64000,高雄,0,95,12,2.0168,0.4728,高雄,39,桃園,11,宜蘭,7
2017H2,6300011,臺北(T11),63000,臺北,0,232,14,1.9508,0.5991,臺北,97,新北,25,宜蘭,25
2017H2,1000407,新竹縣(T07),10004,新竹縣,0,120,11,1.2224,0.7424,新竹縣,76,新竹市,25,桃園,6
2017H2,1000511,苗栗(T11),10005,苗栗,0,538,13,0.9318,0.8104,苗栗,428,新竹縣,32,桃園,20
