period,origin,origin_name,dest,dest_name,delta_weight
2018H1,10014,臺東,63000,臺北,-2
2018H1,10020,嘉義市,10010,嘉義縣,-2
2018H1,64000,高雄,09020,金門,2
2018H1,10005,苗栗,68000,桃園,8
2018H1,10009,雲林,10008,南投,1
2018H1,10009,雲林,10005,苗栗,-1
2018H1,10002,宜蘭,68000,桃園,13
2018H1,10005,苗栗,09007,連江,1
2018H1,68000,桃園,10004,新竹縣,3
2018H1,10013,屏東,10004,新竹縣,-1
2018H1,68000,桃園,66000,臺中,3
2018H1,10004,新竹縣,10015,花蓮,7
2018H1,65000,新北,10017,基隆,-1
2018H1,10015,花蓮,10017,基隆,-2
2018H1,67000,臺南,65000,新北,1
2018H1,10018,新竹市,63000,臺北,1
2018H1,10004,新竹縣,09020,金門,1
2018H1,67000,臺南,10010,嘉義縣,1
2018H1,10007,彰化,10015,花蓮,1
2018H1,10005,苗栗,10016,澎湖,1
2018H1,65000,新北,10004,新竹縣,4
2018H1,65000,新北,66000,臺中,5
2018H1,10004,新竹縣,67000,臺南,3
2018H1,10015,花蓮,10004,新竹縣,1
2018H1,10005,苗栗,10008,南投,3
2018H1,10002,宜蘭,10008,南投,2
2018H1,10014,臺東,66000,臺中,1
2018H1,10013,屏東,68000,桃園,1
2018H1,68000,桃園,10013,屏東,1
2018H1,10008,南投,10017,基隆,1
2018H1,63000,臺北,10016,澎湖,1
2018H1,10017,基隆,65000,新北,-3
2018H1,10004,新竹縣,64000,高雄,-2
2018H1,10018,新竹市,10004,新竹縣,58
2018H1,10005,苗栗,63000,臺北,-2
2018H1,10018,新竹市,66000,臺中,-1
2018H1,10002,宜蘭,65000,新北,-9
2018H1,10007,彰化,10004,新竹縣,1
2018H1,10008,南投,10004,新竹縣,-2
2018H1,63000,臺北,10005,苗栗,2
2018H1,67000,臺南,10002,宜蘭,1
2018H1,64000,高雄,10013,屏東,-1
2018H1,10002,宜蘭,67000,臺南,-4
2018H1,10013,屏東,10005,苗栗,2
2018H1,10013,屏東,10008,南投,-2
2018H1,66000,臺中,68000,桃園,6
2018H1,10010,嘉義縣,68000,桃園,1
2018H1,68000,桃園,10015,花蓮,6
2018H1,10004,新竹縣,68000,桃園,-8
2018H1,68000,桃園,09020,金門,1
2018H1,10007,彰化,68000,桃園,1
2018H1,10018,新竹市,10013,屏東,1
2018H1,63000,臺北,10010,嘉義縣,-2
2018H1,10013,屏東,65000,新北,-1
2018H1,10002,宜蘭,64000,高雄,1
2018H1,65000,新北,10015,花蓮,3
2018H1,68000,桃園,67000,臺南,2
2018H1,10005,苗栗,66000,臺中,-6
2018H1,64000,高雄,10015,花蓮,-1
2018H1,66000,臺中,10005,苗栗,14
2018H1,66000,臺中,10008,南投,9
2018H1,10005,苗栗,10002,宜蘭,1
2018H1,10009,雲林,10007,彰化,-1
2018H1,10002,宜蘭,09007,連江,1
2018H1,10007,彰化,10008,南投,1
2018H1,65000,新北,67000,臺南,1
2018H1,10005,苗栗,10014,臺東,1
2018H1,10015,花蓮,67000,臺南,-3
2018H1,10013,屏東,64000,高雄,1
2018H1,66000,臺中,65000,新北,-6
2018H1,10018,新竹市,10015,花蓮,2
2018H1,63000,臺北,66000,臺中,5
2018H1,66000,臺中,63000,臺北,-1
2018H1,10004,新竹縣,65000,新北,-6
2018H1,10005,苗栗,10007,彰化,1
2018H1,10005,苗栗,10013,屏東,1
2018H1,63000,臺北,10002,宜蘭,-2
2018H1,10002,宜蘭,10016,澎湖,1
2018H1,10005,苗栗,10018,新竹市,1
2018H1,10002,宜蘭,10005,苗栗,4
2018H1,65000,新北,64000,高雄,3
2018H1,68000,桃園,09007,連江,-1
2018H1,10015,花蓮,64000,高雄,-1
2018H1,10018,新竹市,67000,臺南,1
2018H1,63000,臺北,10014,臺東,-2
2018H1,10007,彰化,67000,臺南,1
2018H1,10008,南投,67000,臺南,-1
2018H1,10018,新竹市,10020,嘉義市,-1
2018H1,67000,臺南,10004,新竹縣,-1
2018H1,66000,臺中,10009,雲林,-1
2018H1,10017,基隆,63000,臺北,1
2018H1,65000,新北,68000,桃園,25
2018H1,10002,宜蘭,63000,臺北,-2
2018H1,64000,高雄,68000,桃園,5
2018H1,10015,花蓮,68000,桃園,-8
2018H1,10002,宜蘭,10010,嘉義縣,1
2018H1,10020,嘉義市,68000,桃園,1
2018H1,66000,臺中,10002,宜蘭,-8
2018H1,68000,桃園,10008,南投,-1
2018H1,10018,新竹市,64000,高雄,-1
2018H1,10004,新竹縣,10002,宜蘭,-3
2018H1,10005,苗栗,09020,金門,1
2018H1,10008,南投,64000,高雄,-1
2018H1,65000,新北,10016,澎湖,1
2018H1,10004,新竹縣,10014,臺東,2
2018H1,10018,新竹市,68000,桃園,7
2018H1,63000,臺北,10015,花蓮,8
